Training;TWI;SLOPE;PROFC;PLANC;NDVI;LANDUSE;GEOM;GEO;ELEV;ASP
1;3.728635;37.560875;-0.024993;-0.002184;0.629734;7;3;10;99.643753;357.375702
1;3.94294;31.016956;0.011346;0.005079;0.672649;7;3;10;100.185211;7.317614
1;4.030093;28.858139;-0.010815;0.010684;0.607754;7;3;10;99.390144;326.148254
1;5.934281;16.934456;-0.005336;-0.014918;0.574357;7;3;10;53.967453;177.570877
1;3.850035;37.460754;-0.010703;-0.011036;0.611711;7;3;10;53.045143;131.744934
1;3.938632;31.936966;-0.000305;0.020559;0.569568;7;3;10;108.622688;300.006195
1;4.001907;34.793034;0.001416;0.011891;0.557955;7;3;10;50.530537;168.668259
1;3.043534;55.921593;-0.003865;-0.004206;0.452228;7;1;5;693.548096;182.689789
1;4.253633;25.79586;0.02685;0.006578;0.663639;8;3;10;50.099731;71.513191
1;4.490548;27.29287;-0.002693;0.000692;0.666884;8;3;10;28.720982;76.396675
1;4.458558;20.33499;0.000699;0.009379;0.598244;7;3;10;87.149277;304.39563
1;4.732576;19.851011;0.00278;0.00543;0.631254;7;3;10;55.003281;91.638077
1;3.952047;30.787006;0.001565;0.021542;0.580727;7;3;10;121.366028;307.948212
1;4.008108;30.950027;0.006907;0.014332;0.534242;7;3;10;128.876785;334.44043
1;3.801279;35.569565;-0.000214;-0.002739;0.375378;7;3;10;134.558365;324.625031
1;4.382429;24.223684;-0.013289;0.00183;0.518851;3;1;4;36.079742;242.672348
1;4.281404;25.823187;0.000357;-0.009364;0.480685;3;1;4;40.036541;243.682358
1;4.093988;36.886646;0.000742;-0.00186;0.545805;3;1;4;33.409538;227.642639
1;4.29215;29.284668;0.009768;0.017453;0.555797;3;1;4;44.630329;241.693237
1;4.127088;30.83466;-0.017728;-0.001668;0.462892;3;1;4;62.879429;208.792419
1;4.677239;19.47612;0.000219;0.00242;0.469863;3;1;4;64.871117;195.562927
1;4.087163;34.544518;-0.000533;0.002237;0.519096;3;1;4;42.225891;204.791534
1;4.125663;33.521393;0.008657;-0.001717;0.595641;3;1;4;52.81015;198.836517
1;4.138989;35.049133;-0.007311;0.003329;0.520595;3;1;4;43.835033;198.891647
1;4.60958;23.180521;-0.009509;0.00034;0.582197;3;1;4;37.663139;208.235123
1;4.221081;34.646477;0.000163;-0.007291;0.584867;7;1;3;375.884155;181.707886
1;3.78231;38.560402;-0.00315;-0.003835;0.532852;7;1;3;300.775909;200.236206
1;4.212835;24.656666;-0.001413;-0.001168;0.632335;8;1;10;56.522915;322.407806
1;3.86296;33.914738;0.003326;0.003929;0.610929;8;3;10;33.850285;127.268509
1;4.526374;19.101229;-0.034826;-0.001722;0.594615;8;1;10;16.910898;65.822273
1;4.280949;27.103619;-0.001236;-0.00864;0.694353;1;3;10;60.683399;40.723358
1;3.786056;36.825539;-0.006325;-0.00305;0.686497;7;3;10;77.794907;17.52055
1;4.04312;28.543718;0.000826;0.022069;0.643175;7;3;10;70.046486;40.283562
1;4.040567;32.355782;-0.004218;-0.006958;0.661267;7;1;3;252.911469;73.886887
1;4.235515;27.534328;0.003884;-0.003675;0.671609;7;1;3;242.897736;62.136391
1;3.434479;48.849342;-0.000155;0.015501;0.579946;7;1;3;597.551331;156.610413
1;3.49298;47.587921;0.000656;-0.003763;0.555337;7;1;3;590.118103;171.714951
1;3.525443;47.834976;-0.002494;-0.008087;0.499736;7;1;3;573.370117;186.521805
1;4.153848;34.41341;-0.006335;-0.005677;0.524024;7;1;3;471.059448;195.48938
1;3.702246;40.425896;0.006349;0.001272;0.602818;7;1;3;683.062134;180.692047
1;3.333891;55.28788;-0.000279;-0.019537;0.69513;7;1;3;204.037201;81.76915
1;4.412585;22.997448;-0.000578;0.003442;0.584067;5;5;2;43.183769;153.66713
1;4.08531;31.198496;0.013564;-0.000305;0.635334;3;5;2;23.580519;155.054977
1;3.902206;35.645401;0.000903;-0.000211;0.676035;8;4;10;34.652344;37.200371
1;4.163763;29.909092;0.000283;0.001471;0.634134;7;1;3;139.086456;157.640656
1;4.225624;30.657539;0.005781;-0.018513;0.650303;7;1;3;143.729523;96.114471
1;4.184068;31.998755;0.000155;0.00543;0.569087;7;1;3;133.394409;176.448578
1;4.471067;23.768806;0.000997;0.006568;0.640705;3;1;3;119.226982;164.193436
1;4.530344;21.209175;0.000309;-0.007546;0.679834;3;1;3;136.539734;87.410919
1;4.0465;30.4095;-0.004693;0.007664;0.671327;3;1;3;121.619919;52.975967
1;4.03103;29.673609;-0.006222;0.000865;0.671646;3;1;3;105.136436;54.517593
1;4.626483;19.171116;0.003096;0.003596;0.671616;3;1;3;132.203217;140.538055
1;4.603325;18.538891;0.005704;-0.001202;0.464055;3;1;9;37.160866;167.801453
1;4.681206;17.73877;-0.014677;-0.00021;0.56913;7;1;10;59.68782;180.941589
1;4.449414;21.172565;-0.026218;0.000775;0.487611;10;1;10;55.809525;149.433365
1;4.634923;21.737297;0.004635;-0.00495;0.638001;3;1;3;130.698242;132.645416
1;4.513921;26.158863;0.001477;-0.013013;0.657751;3;1;3;124.230225;143.657654
1;4.293663;25.844238;0.011407;0.019294;0.625876;3;1;3;118.5495;141.517548
1;4.369044;27.68206;0.003337;0.000335;0.662478;3;1;3;110.634926;137.09845
1;4.542572;19.585608;0.004933;0.002742;0.639793;3;1;3;92.814713;144.170288
1;4.266171;31.056194;-0.004044;0.005493;0.487425;7;1;3;129.573929;199.106415
1;4.437997;24.146568;-0.024135;-0.002728;0.622697;7;1;3;124.074142;94.688065
1;4.179662;26.50959;0.009033;0.009624;0.696343;3;1;3;123.198891;115.347603
1;5.158013;24.228668;-0.000912;-0.007994;0.661381;3;1;3;104.566711;126.859161
1;4.288553;24.697525;0.019221;0.004399;0.637318;3;1;3;125.527695;181.992661
1;4.769244;18.149065;0.019379;-0.003468;0.65818;7;1;3;142.621948;128.010864
1;4.347933;24.043743;-0.00548;0.002846;0.613799;3;1;3;114.7994;177.215698
1;5.402511;10.979675;0.003074;-0.04707;0.641133;3;1;3;97.807732;93.834145
1;4.933932;14.141534;-0.011871;-0.000112;0.62051;3;1;3;81.323654;28.398624
1;4.104335;27.844151;0.000479;-0.003722;0.65416;3;1;3;123.880188;30.979362
1;4.729038;17.377777;-0.000557;0.005724;0.690698;3;1;3;138.747009;44.108734
1;5.567771;7.837129;0.008565;0.010686;0.599729;3;1;3;129.987;66.685028
1;4.816402;14.093023;0.001869;0.033361;0.578362;3;1;3;126.580765;73.073364
1;4.534117;18.903543;0.027962;0.000457;0.592445;3;1;3;113.409012;24.890707
1;4.073534;27.446877;0.003438;0.004385;0.635237;3;1;3;108.908615;28.987646
1;4.2165;25.30361;-0.006255;0.006066;0.62306;3;1;3;103.206383;35.576408
1;4.386632;20.680134;0.020521;0.01715;0.662157;3;1;10;81.577492;58.47773
1;4.449491;21.750645;0.002399;-0.000841;0.562482;3;1;3;142.464844;61.187485
1;4.587594;20.885487;-0.01254;-0.009499;0.608684;3;1;3;133.967285;76.351013
1;6.521561;11.418024;-0.003751;-0.038052;0.675257;3;1;3;128.257507;68.688751
1;6.341225;15.297316;-0.009179;-0.050657;0.666013;3;1;3;123.48632;63.400429
1;4.301321;22.142641;0.00401;0.005213;0.604229;3;1;3;109.64595;60.19767
1;5.096356;23.35342;-0.000631;-0.026049;0.653953;3;1;3;137.884003;40.801285
1;4.370914;22.018572;0.00237;0.006885;0.670419;3;1;3;131.40213;39.859344
1;4.221638;25.16185;0.003405;0.005373;0.692472;3;1;3;125.170784;49.902771
1;5.380274;9.556042;0.024558;0.001379;0.678557;3;1;3;114.785095;137.395386
1;4.443946;19.900064;0.02479;0.013836;0.598691;3;1;3;113.086815;188.752106
1;4.490148;19.465086;-0.000456;0.007232;0.451828;3;1;3;104.252899;92.690735
1;5.348185;8.66464;0.000497;0.004834;0.307236;3;1;10;64.049324;118.747665
1;4.410894;21.842325;0.002029;0.005301;0.70451;3;1;3;129.579651;67.900482
1;4.594062;17.442228;0.002938;0.01382;0.388913;3;1;3;102.70813;123.320648
1;4.420708;21.351257;0.005269;0.004099;0.394351;3;1;3;96.320175;120.724655
1;5.03266;12.049305;-0.004035;-0.006123;0.353392;3;1;10;64.706009;95.112106
1;4.742543;16.524881;0.003511;-0.005782;0.3494;3;1;10;27.145578;181.138214
1;5.356673;8.100071;0.026895;0.001361;0.226456;3;1;10;30;186.07962
1;4.225103;24.380043;-0.003063;0.002756;0.556949;3;1;10;20.469452;150.887146
1;4.311804;23.553158;-0.001561;0.003545;0.699044;3;1;3;139.615234;92.754745
1;4.60349;19.332935;0.005697;0.000272;0.681399;3;1;3;113.351044;57.17762
1;3.892945;32.709743;0.00765;0.004627;0.598156;3;1;10;92.171875;356.306152
1;4.090129;27.474163;0.023992;0.013747;0.589043;3;1;10;92.916801;7.398743
1;4.277864;23.606159;0.001021;0.001878;0.589291;3;1;10;81.715034;60.446693
1;4.572605;18.446918;0.009227;-0.003272;0.421176;3;1;10;66.320663;105.727081
1;4.86118;17.681644;-0.019402;-0.004847;0.641764;3;1;10;21.725;24.223911
1;5.638893;14.928129;-0.015016;-0.029286;0.648771;7;1;3;156.589539;37.859985
1;4.392539;22.512444;-0.001534;-0.003576;0.706827;3;1;3;138.778259;93.176331
1;4.708362;17.739895;-0.00056;0.015223;0.610391;3;1;10;104.553612;62.440056
1;4.533076;21.377831;0.017655;-0.000756;0.684597;7;1;3;156.439911;96.915909
1;4.423601;24.289103;-0.007317;-0.000978;0.693771;3;1;3;146.534775;95.375389
1;4.568426;19.432858;0.001786;0.023071;0.643745;7;1;3;163.726868;72.806892
1;4.731813;18.771708;-0.004063;-0.00064;0.60891;3;1;10;104.502953;93.144279
1;4.507666;19.190304;0.007087;-0.00242;0.611102;3;1;10;96.064743;150.499893
1;4.93616;15.843178;0.013482;0.003893;0.639482;7;1;3;180.490753;49.722576
1;4.964166;13.734831;-0.001572;-0.009562;0.297983;3;1;9;62.792679;79.64994
1;4.7773;15.303428;-6.40E-05;-0.001331;0.445659;3;1;9;65.011757;62.116104
1;4.853759;16.744463;0.022312;0.001203;0.355104;3;1;10;80.195953;131.091766
1;4.426409;21.814854;-0.000835;-0.005033;0.480926;3;1;10;74.591476;149.522003
1;4.670133;23.275896;-0.005604;-0.010442;0.572183;3;1;10;70.874008;161.904053
1;4.489707;23.586533;-0.008008;-0.002678;0.549827;3;1;10;69.172424;171.317825
1;4.366365;23.027168;-0.001125;-0.001812;0.462988;3;1;10;69.077896;183.937042
1;4.465948;19.975727;0.013261;-0.00197;0.302006;3;1;9;70.326782;187.790985
1;5.257782;11.144197;0.003984;-0.003155;0.153308;3;1;10;41.854713;120.096436
1;4.662997;19.982929;0.010526;-0.013295;0.327579;3;1;10;37.889843;140.947708
1;4.522147;20.34271;-0.002271;-0.008299;0.335224;3;1;10;35.492851;184.403778
1;4.880853;18.407024;-0.014631;0.007925;0.598608;3;1;10;101.75531;113.386856
1;6.004314;12.911957;0.011404;0.005873;0.473366;3;1;10;94.780571;94.807648
1;4.785472;21.156641;0.000937;-0.005565;0.641427;3;1;10;61.569683;165.858246
1;4.368606;24.501373;0.005127;-0.003009;0.661304;3;1;9;60.660389;177.187134
1;4.139801;28.091192;0.007425;-0.00518;0.552451;3;1;9;61.186035;188.595703
1;4.126029;28.054483;0.004717;-0.000589;0.504252;3;1;9;63.726242;196.378891
1;5.142304;11.225277;0.004527;0.002096;0.306134;3;1;10;47.016441;126.950592
1;4.556043;18.972931;0.018853;0.007437;0.374981;3;1;10;43.795586;134.287811
1;4.422325;22.399876;0.004366;0.001164;0.374078;3;1;10;37.946701;141.110092
1;4.402917;25.505718;0.010001;0.00805;0.582805;3;1;10;32.71302;133.063782
1;4.570628;24.668079;0.004105;-0.038496;0.551122;3;1;10;27.284969;189.684998
1;4.674596;18.058035;0.016343;-0.001699;0.3866;3;1;10;31.820522;202.953873
1;4.862138;15.662022;0.019379;0.018281;0.348454;3;1;10;83.929543;103.152092
1;5.915133;19.876709;-0.005718;-0.004365;0.47999;3;1;10;68.700745;117.521065
1;5.297063;16.331532;-0.011008;-0.011297;0.621823;3;1;9;54.391708;145.134277
1;4.526307;24.084114;-0.000294;-0.012962;0.673198;3;1;9;51.136093;155.73085
1;4.156414;30.072861;-0.004627;-0.010918;0.649289;3;1;9;49.077148;180.768036
1;3.955159;33.463985;-0.00535;-0.003675;0.632605;3;1;9;51.423759;196.525391
1;3.936731;31.979874;0.000721;-0.001105;0.538677;3;1;9;55.801964;198.919891
